NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2025/3857,"Contrato Limpieza del Local 
UMAC La Felguera","1.298,00",,"BEDUNDE , S.L.",B74010042,"Del 1 de 
mayo al 30 
de junio",Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""Si""}, {""column"": ""Órgano gestor"", ""value"": ""Servicio de \nOrdenación \nLaboral""}, {""column"": ""Fecha de adjudicación"", ""value"": ""29/04/2025""}]"
CONP/2025/5576,"Contrato Patrocinio V 
Jornadas Laboralistas de 
Asturias","2.500,00",,"COLEGIO OFICIAL DE 
GRADUADOS SOCIALES DE 
ASTURIAS",Q3369005H,"19 de 
septiembre",Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""SI""}, {""column"": ""Órgano gestor"", ""value"": ""Servicio de \nOrdenación \nLaboral""}, {""column"": ""Fecha de adjudicación"", ""value"": ""19/06/2025""}]"
CONP/2025/5412,"Contrato Patrocinio Curso de 
verano Cuestiones Derecho 
Trabajo Universidad Alcalá","3.500,00",,"FUNDACIÓN GENERAL 
UNIVERSIDAD ALCALÁ",G80090863,"23 al 25 de 
julio",Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""SI""}, {""column"": ""Órgano gestor"", ""value"": ""Servicio de \nOrdenación \nLaboral""}, {""column"": ""Fecha de adjudicación"", ""value"": ""06/06/2025""}]"
CONP/2025/5507,"Contrato Patrocinio XVII 
Jornadas de Economía 
Laboral","1.000,00",,"FUNDACIÓN 
UNIVERSIDAD DE OVIEDO",G33532912,"26 al 27 de 
junio",Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""SI""}, {""column"": ""Órgano gestor"", ""value"": ""Servicio de \nOrdenación \nLaboral""}, {""column"": ""Fecha de adjudicación"", ""value"": ""06/06/2025""}]"
CONP/2025/2981,"Suministro e instalación de 
microondas","69,00",,GABALA S.L.,B74083783,"7 días 
naturales",Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""SI""}, {""column"": ""Órgano gestor"", ""value"": ""SGT""}, {""column"": ""Fecha de adjudicación"", ""value"": ""02/06/2025""}]"
CONP/2025/3114,"Contrato suministro de 
manuales jurídicos 
MEMENTOS prácticos para la 
Dirección General de Empleo 
y Asuntos Laborales","807,04",,"LEFEVRE, EL DERECHO S.A",A79216651,-,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""SI""}, {""column"": ""Órgano gestor"", ""value"": ""Servicio de \nOrdenación \nLaboral""}, {""column"": ""Fecha de adjudicación"", ""value"": ""02/04/2025""}]"
CONP/2025/5479,"Alquiler de dos salas en el 
Hotel de La Reconquista 
(Oviedo) en el marco de los 
Premios Nacionales de 
Comercio Interior 2024, los 
días 9 y 10 de junio de 2025, 
incluyendo la retransmisión","3.160,00",,OPALO HOTELES S.L.U,B66213893,"9 al 10 de 
junio",Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""SI""}, {""column"": ""Órgano gestor"", ""value"": ""Servicio de Gestión \ny Calidad \nComercial""}, {""column"": ""Fecha de adjudicación"", ""value"": ""06/06/2025""}]"
CONP/2025/5961,"Contrato renovación 
extintores UMAC Oviedo y la 
Felguera","249,11",,"PLANA FÁBREGA 
ASTURIAS, S.L",B52543303,-,Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""SI""}, {""column"": ""Órgano gestor"", ""value"": ""Servicio de \nOrdenación \nLaboral""}, {""column"": ""Fecha de adjudicación"", ""value"": ""30/06/2025""}]"
CONP/2025/3759,"Difusión publicitaria de la 
jornada de la II Feria de la 
Ciencia en Asturias","7.260,00",,"SOCIEDAD ESPAÑOLA DE 
RADIODIFUSIÓN S.L.U",B28016970,-,Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Pyme"", ""value"": ""SI""}, {""column"": ""Órgano gestor"", ""value"": ""Servicio de I+D+i""}, {""column"": ""Fecha de adjudicación"", ""value"": ""22/04/2025""}]"
