NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Servicio para la preparación, la organización y desarrollo de la jornada “El 
Ferrocarril n´Asturies” a celebrar los días 23 y 24 de mayo de 2025","6.916,11 €","5.715,80 €","Acebal Comunicación, S.L.",,24/05/2025,Servicios,
,Sustitución de neumáticos,"762,30 €","630,00 €","Asturneumáticos El Milán, S.L",,10 días hábiles,Servicio,
,"Servicios de preparación, organización y desarrollo de la jornada denominada 
“Gastronomía Circular y Sostenibilidá Alimentaria”, a celebrar los días 12 y 13 
de mayo de 2025","15.730,00 €","13.000,00 €",Bizkares Biosolutions S.L.,,13/05/2025,Servicios,
,"Asistencia técnica para la definición de estrategia digital de la Dirección 
General de Vivienda","14.653,10 €","12.110,00 €",Bytacora Soluciones Informáticas S.L.,,3 meses,Servicio,
,"Servicio de pausa-café para el encuentro de la Red de Oficinas Jóvenes en la 
localidad de Oviedo","300,00 €","272,72 €","Camilo de Blas, S.A.",,6 de mayo de 2025,Servicios,
,"Patrocinio de la representación de la obra “TIRAÑA EN LA MEMORIA” en el 
Teatro Prendes de Candás (Carreño)","5.577,00 €","5.070,00 €",Candela Guerrero Suárez,,13/05/2025 a 29/05/2025,Servicio,
,"Servicios para la preparación, la organización y desarrollo de la jornada 
“Comunidades Energéticas y Autoconsumo n´Asturies” a celebrar los días 9 y 
10 de mayo de 2025","7.253,95 €","5.995,00 €",Casbah Producciones S.L.,,10/05/2025,Servicios,
,"Servicios para la preparación, la organización y desarrollo de la jornada 
“DESAFÍOS DE L’AXENDA 2030: LA MOCEDÁ FRENTE A LA EMERXENCIA 
CLIMÁTICA”, a celebrar el 31 de mayo de 2025","10.581,45 €","8.745,00 €",Casbah Producciones S.L.,,31/05/2025,Servicios,
,"Servicio para la elaboración de la guía de buenas prácticas en el 
acompañamiento psicosocial a defensoras de derechos humanos en 
programas de acogida temporal","9.922,00 €","8.200,00 €",Colibrís en Acción,,15/12/2025,Servicios,
,Suministro e instalación de un motor para la persiana de la Sala Borrón,"762,30 €","630,00 €","Conor Persianas, S.A.",,Hasta el 6 de junio de 2025,Mixto,
,"Servicio de asistencia técnica para la elaboración de un Plan Integrado de 
Desarrollo Sostenible para los concejos de Carreño, Corvera, Gozón y 
Llanera","15.972,00 €","13.200,00 €",COOP&CO SCA,,15/10/2025,Servicios,
,"Catering para Acto público Dia del Exilio, 8-05-2025 en Centro Niemeyer","11.011,00 €","9.100,00 €",Cronistar S.L.,,08/05/2025,Servicio,
,"Servicio de producción, guion, locución, realización, grabación y edición de 8 
podcasts, para la promoción y difusión de los ODS en la semana negra 2025, 
a realizar en Gijón entre el 5 y el 12 de julio de 2025","16.335,00 €","13.500,00 €",David Acera Rodríguez,,31/07/2025,Servicios,
,"Ejecución editorial de las publicaciones ganadoras del premio ""Asturias Joven 
de Poesía, Narrativa y Textos Teatrales"" en 2024","6.049,00 €","5.700,00 €","Ediciones TRABE, S.L.",,Desde el 8 de abril hasta el 21 de junio de 2025,Servicios,
,"Servicio de catering consistente en pausa-café y servicio de comida  inormal 
para los participantes en las V Jornadas de formación de la Ley de 
Participación Asturiana","2.904,00 €","2.640,00 €",El Buen Hacer Eventos S.L,,31/05/2025,Servicio,
,"Servicio y suministro de elementos de imágenes gráficas ""10 años de Agenda 
2030” para jornadas, eventos y actividades","15.427,50 €","12.750,00 €",Fátima Valle Fraga,,31/12/2025,Servicios,
,"Servicios para la preparación, la organización y desarrollo del festival “Zona 
Diversa” el 20 de junio de 2025","12.100,00 €","10.000,00 €",Federación de Asociaciones Juveniles de Oviedo 20/06/2025,,,Servicios,
,Adquisición e instalación de 110 Stolpersteine (piedra/adoquín de la memoria),"14.520,00 €","14.520,00 €","Fundación STIFTUNG-SPUREN-GUNTER 
DEMNIG",,25/06/2025 a 12/12/2025,Suministro,
,"Estudio sobre “Represión del pueblo gitano en Asturias durante la dictadura 
franquista”","14.938,66 €","12.346,00 €",Fundación Universidad de Oviedo,,02/06/2025 a 31/05/2026,Servicio,
,"Servicio para la elaboración del estudio técnico para el fortalecimiento de la 
colaboración académica, cultural y ciudadana entre la cuenca del carbón de 
Chile y la cuenca del carbón de Asturias","14.399,00 €","11.900,00 €",Fundación Universidad de Oviedo,,15/12/2025,Servicios,
,"Reimpresión de catálogos de la 34 Muestra de Artes Plásticas del Principado 
de Asturias","497,12 €","478,00 €","Imprenta Goymar, S.L.",,1 semana,Servicios,
,Suministro de material de imprenta (CONP/2025/5875),"1.640,76 €","1.356,00 €",IMPRIMIMOS S.L.,,30 días,Suministro,
,"Servicio de traducción de los textos del catálogo de la 35 Muestra de Artes 
Plásticas del Principado de Asturias","1.446,19 €","1.195,20 €",Juan González-Castelao Martínez-Peñuela,,3 semanas,Servicios,
,"Servicios de comisariado y de elaboración de contenidos para la 35 Muestra 
de Artes Plásticas del Principado de Asturias y para la itinerancia de la 34 
Muestra de Artes Plásticas del Principado de Asturias","4.700,00 €","4.700,00 €",Luis Feás Costilla,,Desde el 23 de junio hasta el 12 de noviembre de 2025,Servicios,
,"Placas conmemorativas (5) homenaje a deportados/as  en los campos de 
Mauthausen, Gusen y Harteim","1.673,97 €","1.383,45 €",Luminosos Ales S.A,,11/04/2025 a 15/05/2025,Suministro,
,"Centros para ofrendas florales (4) a deportados/as en campos de 
Mauthausen, Gusen y Harteim","762,30 €","693,00 €",Mª. Nieves Ania Alonso (FLORES GENY),,05/06/2025,Suministro,
,Revisión del proyecto para la recuperación de la Playa de Verdicio,"8.185,65 €","6.765,00 €",Magna Dea S.L.,,1 mes,Servicio,
,"Reparación de la estructura soporte de uno de los expositores publicitarios 
enrollables o roll ups","60,50 €","50,00 €",Milenium Preimpresion S.L.,,05/07/2025,Servicios,
,Suministro de toner,"296,51 €","245,05 €",OFIZE Suministros Integrales Granda XXI,,15 días hábiles,Suministro,
,"Servicio de transporte y montaje de la itinerancia de la 34 MAPPA a la 
localidad de Madrid","9.897,80 €","8.180,00 €",Pablo Alba Sánchez,,Desde el 22 de septiembre al 16 de octubre de 2025,Servicios,
,"Servicio de recogida, traslado y almacenaje de medios audiovisuales, obras 
de arte, mobiliario y demás enseres de la sala expositiva Sala Borrón","6.897,00 €","5.700,00 €",Pablo Alba Sánchez,,5 meses,Servicios,
,"Servicios de preparación, organización y desarrollo de las sesiones 
correspondientes al ciclo “Cine de Verano Asturias 2025 – Agenda 2030”, a 
celebrar entre los meses de julio y agosto por distintos concejos de Asturias","16.849,25 €","13.925,00 €",Pablo María Díaz,,31/08/2025,Servicios,
,"Realización de film documental de Homenaje a deportados/as en campos de 
Mauthausen, Gusen y Harteim","5.227,20 €","4.320,00 €",Sergio Montero Fernández,,14/05/2025 a 31/07/2025,Servicio,
