NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,,,,,,,,
,"Adjudicación a la Agencia de Viajes Avoris 
contrato basado en el Acuerdo marco para la 
prestación del servido de agencias de viajes, 
con 
destino 
a 
la 
Administración 
del 
Principado de Asturias y sus organismos 
autónomos, así como a las entidades públicas 
y entes públicos adheridos.","8.620,00€",,Avoris Retail Division SL,,,,
,,,,,,,,
,,,,,,,,"[{""column"": """", ""value"": ""Adjudicación \na \nla \nSociedad Estatal \nde \ncorreos y Telégrafos SA SME, contrato \nbasado \nen \nel Acuerdo marco \npara \nla \nprestación \nde \nservicios \npostales \ny \ntelegráficos,, con destino a la Administración \ndel Principado de Asturias y sus organismos \nautónomos, así como a las entidades públicas \ny entes públicos adheridos.""}, {""column"": """", ""value"": ""Adjudicación \na \nla \nSociedad Estatal \nde \ncorreos y Telégrafos SA SME, contrato \nbasado \nen \nel Acuerdo marco \npara \nla \nprestación \nde \nservicios \npostales \ny \ntelegráficos,, con destino a la Administración \ndel Principado de Asturias y sus organismos \nautónomos, así como a las entidades públicas \ny entes públicos adheridos.""}, {""column"": """", ""value"": ""Adjudicación \na \nla \nSociedad Estatal \nde \ncorreos y Telégrafos SA SME, contrato \nbasado \nen \nel Acuerdo marco \npara \nla \nprestación \nde \nservicios \npostales \ny \ntelegráficos,, con destino a la Administración \ndel Principado de Asturias y sus organismos \nautónomos, así como a las entidades públicas \ny entes públicos adheridos.""}, {""column"": """", ""value"": ""Adjudicación \na \nla \nSociedad Estatal \nde \ncorreos y Telégrafos SA SME, contrato \nbasado \nen \nel Acuerdo marco \npara \nla \nprestación \nde \nservicios \npostales \ny \ntelegráficos,, con destino a la Administración \ndel Principado de Asturias y sus organismos \nautónomos, así como a las entidades públicas \ny entes públicos adheridos.""}]"
,,,,,,,,
,,,,,,,,"[{""column"": """", ""value"": ""Adjudicación a la Agencia de Viajes Avoris \ncontrato basado en el Acuerdo marco para la \nprestación del servido de agencias de viajes, \ncon \ndestino \na \nla \nAdministración \ndel \nPrincipado de Asturias y sus organismos \nautónomos, así como a las entidades públicas \ny entes públicos adheridos.""}, {""column"": """", ""value"": ""Adjudicación a la Agencia de Viajes Avoris \ncontrato basado en el Acuerdo marco para la \nprestación del servido de agencias de viajes, \ncon \ndestino \na \nla \nAdministración \ndel \nPrincipado de Asturias y sus organismos \nautónomos, así como a las entidades públicas \ny entes públicos adheridos.""}, {""column"": """", ""value"": ""Adjudicación a la Agencia de Viajes Avoris \ncontrato basado en el Acuerdo marco para la \nprestación del servido de agencias de viajes, \ncon \ndestino \na \nla \nAdministración \ndel \nPrincipado de Asturias y sus organismos \nautónomos, así como a las entidades públicas \ny entes públicos adheridos.""}, {""column"": """", ""value"": ""Adjudicación a la Agencia de Viajes Avoris \ncontrato basado en el Acuerdo marco para la \nprestación del servido de agencias de viajes, \ncon \ndestino \na \nla \nAdministración \ndel \nPrincipado de Asturias y sus organismos \nautónomos, así como a las entidades públicas \ny entes públicos adheridos.""}]"
,,,,,,,,"[{""column"": """", ""value"": ""Actuación de Ari Rasilainen como director \ninvitado en el Concierto de Abono V de la \n13.688,00€ \nConciertos Augusto S.L. \ntemporada 2022-23 de la OSPA \nActuación de Daniel Müller Schott como \nsolista invitado en el Concierto de Abono V \n14.520,00€ \nConciertos Augusto S.L. \nde la temporada 2022-23 de la OSPA \nActuación de Benjamin Ziervogel \ncomo \nconcertino \ninvitado \nen \nel Concierto \nde \n2.420€ \nBenjamin Ziervogel \nAbono V de la temporada 2022-23 de la \nOSPA \nActuación de Ari Rasilainen como director \ninvitado en el Concierto de Abono VI de la \n13.705,00€ \nConciertos Augusto S.L. \ntemporada 2022-23 de la OSPA \nActuación de Narek Hakhnazaryan como \nsolista invitado en el Concierto de Abono VI \n11.550,00€ \nNarek Hakhnazaryan \nde hoy de la temporada 2022-23 de la OSPA \nActuación \ncomo \nde Mirabai Weismehl \nconcertino invitada en el Concierto de Abono \n2.420,00€ \nMirabai Isis Lila Weismehl \nVI de la temporada 2022-23 de la OSPA.""}, {""column"": """", ""value"": ""Actuación de Ari Rasilainen como director \ninvitado en el Concierto de Abono V de la \n13.688,00€ \nConciertos Augusto S.L. \ntemporada 2022-23 de la OSPA \nActuación de Daniel Müller Schott como \nsolista invitado en el Concierto de Abono V \n14.520,00€ \nConciertos Augusto S.L. \nde la temporada 2022-23 de la OSPA \nActuación de Benjamin Ziervogel \ncomo \nconcertino \ninvitado \nen \nel Concierto \nde \n2.420€ \nBenjamin Ziervogel \nAbono V de la temporada 2022-23 de la \nOSPA \nActuación de Ari Rasilainen como director \ninvitado en el Concierto de Abono VI de la \n13.705,00€ \nConciertos Augusto S.L. \ntemporada 2022-23 de la OSPA \nActuación de Narek Hakhnazaryan como \nsolista invitado en el Concierto de Abono VI \n11.550,00€ \nNarek Hakhnazaryan \nde hoy de la temporada 2022-23 de la OSPA \nActuación \ncomo \nde Mirabai Weismehl \nconcertino invitada en el Concierto de Abono \n2.420,00€ \nMirabai Isis Lila Weismehl \nVI de la temporada 2022-23 de la OSPA.""}, {""column"": """", ""value"": ""Actuación de Ari Rasilainen como director \ninvitado en el Concierto de Abono V de la \n13.688,00€ \nConciertos Augusto S.L. \ntemporada 2022-23 de la OSPA \nActuación de Daniel Müller Schott como \nsolista invitado en el Concierto de Abono V \n14.520,00€ \nConciertos Augusto S.L. \nde la temporada 2022-23 de la OSPA \nActuación de Benjamin Ziervogel \ncomo \nconcertino \ninvitado \nen \nel Concierto \nde \n2.420€ \nBenjamin Ziervogel \nAbono V de la temporada 2022-23 de la \nOSPA \nActuación de Ari Rasilainen como director \ninvitado en el Concierto de Abono VI de la \n13.705,00€ \nConciertos Augusto S.L. \ntemporada 2022-23 de la OSPA \nActuación de Narek Hakhnazaryan como \nsolista invitado en el Concierto de Abono VI \n11.550,00€ \nNarek Hakhnazaryan \nde hoy de la temporada 2022-23 de la OSPA \nActuación \ncomo \nde Mirabai Weismehl \nconcertino invitada en el Concierto de Abono \n2.420,00€ \nMirabai Isis Lila Weismehl \nVI de la temporada 2022-23 de la OSPA.""}, {""column"": """", ""value"": ""Actuación de Ari Rasilainen como director \ninvitado en el Concierto de Abono V de la \n13.688,00€ \nConciertos Augusto S.L. \ntemporada 2022-23 de la OSPA \nActuación de Daniel Müller Schott como \nsolista invitado en el Concierto de Abono V \n14.520,00€ \nConciertos Augusto S.L. \nde la temporada 2022-23 de la OSPA \nActuación de Benjamin Ziervogel \ncomo \nconcertino \ninvitado \nen \nel Concierto \nde \n2.420€ \nBenjamin Ziervogel \nAbono V de la temporada 2022-23 de la \nOSPA \nActuación de Ari Rasilainen como director \ninvitado en el Concierto de Abono VI de la \n13.705,00€ \nConciertos Augusto S.L. \ntemporada 2022-23 de la OSPA \nActuación de Narek Hakhnazaryan como \nsolista invitado en el Concierto de Abono VI \n11.550,00€ \nNarek Hakhnazaryan \nde hoy de la temporada 2022-23 de la OSPA \nActuación \ncomo \nde Mirabai Weismehl \nconcertino invitada en el Concierto de Abono \n2.420,00€ \nMirabai Isis Lila Weismehl \nVI de la temporada 2022-23 de la OSPA.""}]"
,"Contratación de material de alquiler Sinfonía 
de cámara op.110a/ Shostakovich, Dmitri – 
Barschai, Rudolf; Muerte y la doncella, La/ 
Schubert, Franz – Mahler, Gustav (Abono 
VII – El cuarteto ampliado, temporada 2022-
23).","3.864,68€",,"MONGE 
Y 
BOCETA 
ASOCIADOS 
MUSICALES S.L.",,,,
,,,,,,,,
,"Contratación de material de alquiler Sinfonía 
concertante 
para 
piano 
y 
orquesta/ 
Szymanowski, Karol; Danzas 
sinfónicas 
op.45/ Rachmaninoff, Sergei (Abono VIII – 
Danzas sinfónicas, temporada 2022-23).","1.862,03€",,"MONGE 
Y 
BOCETA 
ASOCIADOS 
MUSICALES S.L.",,,,
,,,,,,,,
,,,,,,,,"[{""column"": """", ""value"": ""Contratación de material de alquiler Sinfonía \nde cámara op.110a/ Shostakovich, Dmitri – \nBarschai, Rudolf; Muerte y la doncella, La/ \nSchubert, Franz – Mahler, Gustav (Abono \nVII – El cuarteto ampliado, temporada 2022-\n23).""}, {""column"": """", ""value"": ""Contratación de material de alquiler Sinfonía \nde cámara op.110a/ Shostakovich, Dmitri – \nBarschai, Rudolf; Muerte y la doncella, La/ \nSchubert, Franz – Mahler, Gustav (Abono \nVII – El cuarteto ampliado, temporada 2022-\n23).""}, {""column"": """", ""value"": ""Contratación de material de alquiler Sinfonía \nde cámara op.110a/ Shostakovich, Dmitri – \nBarschai, Rudolf; Muerte y la doncella, La/ \nSchubert, Franz – Mahler, Gustav (Abono \nVII – El cuarteto ampliado, temporada 2022-\n23).""}, {""column"": """", ""value"": ""Contratación de material de alquiler Sinfonía \nde cámara op.110a/ Shostakovich, Dmitri – \nBarschai, Rudolf; Muerte y la doncella, La/ \nSchubert, Franz – Mahler, Gustav (Abono \nVII – El cuarteto ampliado, temporada 2022-\n23).""}]"
,,,,,,,,
