NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Obra exterior cercado osero Santo Adriano,"24.200,00 €","20.000,00 €","Asturias Forestal, S. Coop. Astur de 
2º Grado",,Hasta 31 de diciembre de 2023,Obras,
,"Redaccion de Proyectos de Obra en la Zona
Oriental en 2023","11.664,40 €","9.640,00 €","Asturias Forestal, Sdad. Coop.",,2 meses,Servicio,
,"Suministro
de
desinfectante de
alto
nivel
con
acido peracetico","571,94 €","472,68 €","Asturlab Asturias, S.L.",,2 meses,Suministros,
,"Suministro de receptaculo de acero inoxidable
para molino de cuchillas Retsch GM200","585,34 €","483,75 €","Asturlab Asturias, S.L.",,1 mes,Suministros,
,Suministro de disolventes y kits de extraccion,"1.860,65 €","1.537,73 €","Asturlab Asturias, S.L.",,2 meses,Suministros,
,"Suministro
de
baño
maria
con
regulacion
electronica hasta 100ºC","499,22 €","412,58 €","Asturlab Asturias, S.L.",,1 mes,Suministros,
,Suministro de diverso material de laboratorio,"870,45 €","719,38 €","Asturlab Asturias, S.L.",,1 mes,Suministros,
,"Adquisición material
de
toma
de muestras
y
realizacion
de
pruebas
diagnosticas
CONP/2023/11770","194,37 €","160,63 €","Asturlab, S.L.",,1 Mes,Suministros,
,"Suministro
congelador
vertical
para muestras
CONP/2023/14318","1.391,26 €","1.149,80 €","Asturlab, S.L.",,1 Mes,Suministros,
,Suministro de 1000 tarjetas blancas,"154,00 €","127,27 €","Asuagar, S.L.",,1 mes,Suministro,
,Patrocinio TPA 2023,"6.655,00 €","5.500,00 €","Audience Planning, S.L.",,20 dias,Servicios,
,Mantenimiento de vehiculo 5176KSM,"489,00 €","404,13 €",Auto Center Principado S.L.,,18 dias,Servicios,
,Basculas para inspeccion,"840,35 €","694,50 €","Basculas Servipesa, S.L.",,1 mes,Suministro,
,"Suministro de reactivos y medios de cultivo para
analisis de tuberculosis","7.858,95 €","6.495,00 €","Becton Dickinson, S.A.",,2 meses,Suministros,
,Suministro de reactivos y medios de cultivo,"7.094,69 €","5.863,38 €","Biomerieux España, S.A.U.",,12 meses,Suministros,
,Suministro de patron de DEOXINIVALENOL,"429,44 €","354,91 €","Bioser,S.A.",,1 mes,Suministros,
,Diseño y produccion soportes carton pluma,"726,00 €","600,00 €","Bittia Media, S.L.",,2 días,Suministro,
,Mantenimiento de elementos de fontaneria,"1.149,50 €","950,00 €","Bocetto Interiorismo, S.L.",,1 mes,Servicios,
,"Reparacion urgente Fiat Punto
5358 CHM-OCA
DE Luarca por ITV desfavorable","298,36 €","246,58 €","Campoastur Productos y Servicios 
Sociedad Cooperativa",,15 dias,Servicio,
,"Reparacion de canalones del
Invernadero Nº 2
del Vivero Forestal de La Mata","9.680,00 €","8.000,00 €","Canalones y Cubiertas, S.L.",,1 mes,Obra,
,"Curso de Actualizacion de Operador General del 
SMSSM","399,00 €","329,75 €","Cantabrica Consultores Maritimos, 
S.L.",,2 días,Servicios,
,Revision Extintores Garaje Vzquez de Mella,"600,00 €","600,00 €",Carlos Borrego Salazar,,10 días,Servicio,
,"Reparacion de cristaleria exterior en la oficina
para el Medio rural de Pola de Lena","263,78 €","218,00 €","Carpinteria Metalica Alberto Muñiz, 
S.L.",,1mes,Servicio,
,"Reparacion
varios
golpes
Peugeot407
4687GCD","1.106,88 €","914,78 €",Carrocerias Plasfor C.B.,,15 días,Servicio,
,Adquisicion papel Plotter,"54,50 €","45,04 €",Clarin Libreria y Papeleria,,15 días,Suministro,
,"Suministro
de
cartuchos
de
tinta
para
las
impresoras asociadas a los equipos de análisis
del departamento de Fisico-Quimicos","78,65 €","65,00 €","Comercial Manuel Urones, S.L.",,1 mes,Suministros,
,Recogida y tratamiento de residuos peligrosos,"11.000,00 €","11.000,00 €","Compañia para la gestion de 
residuos solidos de Asturias, S.A.U.",,12 meses,Servicios,
,"Reparacion urgente de calefacion consultorio de
Grandas_Oficina Comarcal de Vegadeo","287,38 €","237,50 €","Construcciones Gromaz y Gromar, 
S.L.",,5 dias,Servicio,
,"Acondicionamiento
de
la
conexion
de
varias
redes de caminos","47.960,00 €","39.636,36 €","Contratas Fernandez Granda, S.L.",,45 días,Obras,
,"Redaccion
de
los
Proyectos
de
Obra
Tratamientos
Selvícolas
Comarca
de
Pravia
2022","9.260,37 €","8.418,52 €","Coviastur, S.L.",,2 meses,Servicio,
,"Mantenimiento del Marteloscopio de Sierra de
Fonfaraon y Mulleiroso","2.091,25 €","1.901,14 €","Coviastur, S.L.",,1 mes,Servicio,
,"Reparacion
y
el mantenimiento
de
vehiculo
Nissan, modelo X Trail, matriculoa 8275-LPP","269,00 €","222,31 €",Cyasa,,30 dias,Servicio,
,"Repaaracion urgente del vehiculo Nissan Micra
con matricula O-6201-BY imprescindible
para
superar la ITV","274,51 €","226,87 €",Daniel Alvarez Villar,,15 dias,Servicio,
,"Servicio
de
reparaciones
diversas
en
los
edificios de los laboratorios de Sanidad Animal y
Vegetal","2.777,33 €","2.295,31 €",Daniel Lueje Diaz,,1 mes,Servicios,
,"Sustitucion de luminarias en Oficina Comarcal
de Pola de Laviana","912,34 €","754,00 €","Demetrio Francisco Iglesias 
Castañon",,20 dias,Servicio,
,"Suministro de embudo de decantacion de vidrio
250 ml","32,79 €","27,10 €","Dismed, S.A.",,1 mes,Suministros,
,Suministro de oligonucleotidos para PCR,"905,69 €","748,50 €","Dismed, S.A.",,1 mes,Suministros,
,Reparacion de la termodesinfectadora,"713,90 €","590,00 €","Dismed, S.A.",,1 semana,Servicios,
,Reparacion de la centrifuga Selecta Mixtasel,"99,75 €","82,44 €","Dismed, S.A.",,1 mes,Servicios,
,"Suministro de reactivos y medios de cultivo para
microbiologia y PCR","1.002,42 €","828,45 €","Dismed, S.A.",,1 mes,Suministros,
,"Suministro de reactivos, primers
y
sondas de
PCR y
calibracion
de
equipo
de PCR en
el
Laboratorio de Sanidad Animal","12.430,15 €","10.272,85 €","Dismed, S.A.",,2 meses,Suministros,
,"Suministro de reactivos
y
fungible de biologia
molecular, microbiologia y cromatografia para el
Laboratorio de Sanidad Vegetal","5.645,07 €","4.665,35 €","Dismed, S.A.",,2 meses,Suministros,
,"Suministro
de
tapones
para
botellas
de
disolventes en equipos de HPLC/UPLC","178,23 €","147,30 €","Dismed, S.A.",,1 mes,Suministros,
,"Suministro de material
fungible para tecnicas de
PCR","3.434,67 €","2.838,57 €","Dismed, S.A.",,1 mes,Suministros,
,Suministro de gomas para microcentrífuga,"151,64 €","125,32 €","Dismed, S.A.",,1 mes,Suministros,
,Servicio de envio de paqueteria urgente,"2.516,80 €","2.080,00 €","Dismed, S.A.",,12 meses,Servicios,
,"Suministro de medios de cultivo y master mix
para PCR","3.858,45 €","3.188,80 €","Distribuidora BIOTECNOLOGICA 
Astur Leonesa, S.L.",,12 meses,Suministros,
,"Tratamientos selvicolas en Sierra de Prelo rodal
Z","29.645,00 €","26.950,00 €","Egisa, S.A.",,3 meses,Obra,
,Prendas vestuario personal (Lote 1),"4.600,00 €","3.801,65 €","El Corte Ingles, S.A.",,Hasta el 21/12/23,Suministro,
,"Suministro
y
resposicion
urgente
de
tubos
fluorescentes y lamparas incandescentes en la
Oficina Comarcal de Luarca","876,56 €","721,95 €","Electricidad Jose Ramon Fdez., S.L.",,2 dias,Suministro,
,"Asistencia externa para el control del expediente
de
subvencion
del
proyecto
de
nueva
piscifactoria de cria de lenguado","6.627,17 €","5.477,00 €","Empresa de Ingenieria Tecnica 
Agroalimentaria, S.L.",,Hasta el 31.10.24,Servicios,
,Acondicionado de local para despacho,"574,75 €","475,00 €",Enrique García Perez,,3 dias,Servicio,
,"Redaccion de Varios Proyectos en Montes de la
Zona Suroccidental","7.810,00 €","7.100,00 €","Estudio Tecnico Moal Muniellos, S.L.",,2 meses,Servicio,
,Pavimentacion de camino en Folgosa,"47.368,54 €","39.147,55 €","Evasfal, S.L.U.",,45 días,Obras,
,Mejora del camino La Cabaña en Las Cruces,"43.426,90 €","35.890,00 €","Excavaciones Solis Vega, S.L.",,1 mes,Obras,
,Mejora de camino en Villatresmil,"47.970,00 €","39.644,63 €","Excavaciones y pavimentaciones 
Hermanos Laneo, S.L.",,45 días,Obras,
,"Barrera canadiense en camino de acceso a La
Sierra de Poxos","12.632,40 €","10.440,00 €","Excavaciones y transportes Emilio, 
S.L.",,15 días,Obras,
,Mantenimiento de extintores CEP Castropol,"125,84 €","104,00 €","Extintores Principado, S.L.",,1 semana,Servicios,
,"Mantenimiento y adquisicion de extintores para
las Oficinas Comarcales Agrarias y sus centros","2.199,78 €","1.818,00 €","Extintores Principado, S.L.",,Hasta 31/12/2023,Servicio,
,"Suministro
de
2000
documentos
para
la
expedicion de titulaciones nautico-pesqueras","1.839,20 €","1.520,00 €","Fabrica Nacional de Moneda y 
Timbre",,1 mes,Suministro,
,"Reparacion
persianas,
termostato
de
la
calefacion,
colocacion
y
suministro
de
10
bombillas","976,35 €","806,90 €","Ferreteria Piquero, S.L.",,1 mes,Servicio,
,"Curso teorico-practico de elaboracion y gestion
del compost y manejo de insumos.","3.586,68 €","2.964,20 €","Finca el Cabillon, S.L.U.",,9 dias,Servicios,
,"Reparacion vehiculo, Fiat Punto 6536CHP OCA
de Grado","375,83 €","310,60 €",Florez Grado S.L.,,1 mes,Servicio,
,"Reparaciones
de
puerta
de
entrada
de
la
oficina,
limpieza
de
canalones
ya
que
hay
filtraciones
de
agua
en
el
OCA
de
la
Cooperativa
Agropecuaria
y
revision
y
diagnostico de la caldera de la calefaccion que
no funciona","889,35 €","735,00 €","Fontaneria Fanjul, S.L.",,7 dias,Servicio,
,Equipos envio de datos,"15.717,90 €","12.990,00 €","Fotocasanova, S.L.",,Hasta 31 de diciembre de 2023,Suministros,
,"Reparacion y sustitcucion urgente de luminaria
en el Centro de Información Agraria de Salas","1.635,32 €","1.351,50 €",Francisco Javier Huergo Fernandez,,20 dias,Servicio,
,"Reposicion urgente de 10 tubos
fluorescentes
en Cia de Tapia","95,00 €","78,51 €",Francisco Perez Rodriguez,,10 dias,Servicio,
,"Reparacion vehiculo oficial matricula 9327BFP 
CONP/2023/14529","278,94 €","230,53 €","Garaje Rape, S.L.",,1 Mes,Servicios,
,Reparacion empates de canalon,"810,70 €","670,00 €","GAVA Obras y Reformas, S.L.",,8 dias,Servicio,
,"Eliminacion y destruccion expedientes de OCAS
Gijon, Cangas
de Onís, Cangas
del Narcea,
Lena, Laviana y Vegadeo","3.336,30 €","2.950,00 €","Gijonesa de Tratamiento 
Documental, S.L.",,Hasta 31/12/2023,Servicio,
,"Adquisicion
de
documentos
de
identificacion
equina (DIE)
CONP/2023/12009","11.588,17 €","9.577,00 €","Graficas Fortuny, S.L.",,1 Mes,Suministros,
,Prensa Escrita diaria Consejero,"1.651,65 €","1.365,00 €","Hallon Intelligence, S.L.",,3 Meses,Suministro,
,"Suministro
de
puntas
de
pipeta
para
robots
Hamilton","8.833,00 €","7.300,00 €","Hamilton Iberia, S.L.U.",,1 mes,Suministros,
,"Suministro
de
Kits
para
la
deteccion
de
antigenos del virus de la diarrea virica bovina
(BVD-Ag)","18.083,93 €","14.945,40 €","IDEXX Laboratorios, S.L.",,2 meses,Suministros,
,"Suministro
de
kits
para
gamma-interferon
(tuberculosis)","1.197,90 €","990,00 €","IDVET Biologicos, S.L.",,2 meses,Suministros,
,"Suministro de kits ELISA para el diagnostico de
anticuerpos frente a la enfermedad hemorragica
epizootica","3.775,20 €","3.120,00 €","IDVET Biologicos, S.L.",,1 mes,Suministros,
,"Suministro
kits ELISA para
el
diagnostico
de
anticuerpos p-80 de diarrea virica bovina (BVD)","15.246,00 €","12.600,00 €","IDVET Biologicos, S.L.",,2 meses,Suministros,
,"Suministro de kits ELISA para el diagnostico de
anticuerpos de paratuberculosis en rumiantes","15.972,00 €","13.200,00 €","IDVET Biologicos, S.L.",,2 meses,Suministros,
,"Suministro de kits ELISA para la deteccion de
anticuerpos de neosporosis","16.941,21 €","14.001,00 €","IDVET Biologicos, S.L.",,2 meses,Suministros,
,"Patrocinio Alimentos del Paraiso Natural en el
marco del XXXIV Festival de la Manzana","1.210,00 €","1.000,00 €",Ignacio Calviño Gonzalez,,4 dias,Servicios,
,Reparacion Sistema Testo,"166,86 €","137,90 €","Iinstrumentacion y Servicios de 
Calibracion, S.L.",,1 semana,Servicios,
,"Suministro de material de imprenta: carteles de
campaña
y
cartas
de
saneamiento.
CONP/2023/10880","756,25 €","625,00 €","Imprenta GOYMAR, S.L.",,1 Mes,Suministros,
,Edicion de tablas de mareas,"3.751,00 €","3.100,00 €","Imprenta la Versal, S.L.",,1 mes,Servicios,
,Material Inprenta Consejero,"1.194,27 €","987,00 €","Imprenta Quilogas, S.L.",,1 Mes,Suministro,
,"Mejoras accesibilidad y seguridad en el cercado
osero y sus instalaciones anexas","19.026,28 €","15.724,20 €","Industrial Carrea, S.L.",,Hasta 31 de diciembre de 2023,Obras,
,"Reparacion
de
camaras
frigorificas
del
Laboratorio de Sanidad Animal","4.665,93 €","3.856,14 €","Industrial Frigorifica de Aviles, S.L.U.",,1 mes,Servicios,
,"Suministro de kits ELISA para la deteccion de
anticuerpos especificos de la proteina MPB83
del Micobacterium bovis","463,91 €","383,40 €",Inmunologia y genetica aplicada S.A.,,1 mes,Suministros,
,"Suministro para la deteccion de anticuerpos gE
de rinotraqueitis infecciosa bovina (IBR)","13.852,08 €","11.448,00 €","Inmunologia y genetica aplicada, 
S.A.",,2 meses,Suministros,
,"Instalacion
de
linea
de
aire
Comprimido
y
Legalizacion
de
acumuladores
de
Presion
Vivero La Mata","6.246,78 €","5.162,63 €","Irastur, S.A.",,1 mes,Obra,
,Baterias superalcalinas,"39,93 €","33,00 €","Javier Torre Lopez, S.L.",,1 semana,Suministro,
,"Peritaje
evaluacion
de
humedades,
grietas
y
otros elementos de las oficinas de la DGPM","2.861,65 €","2.365,00 €",Jose Balseiros Rabanal,,Hasta el 26.12.23,Servicios,
,"Reconocimiento medico
para
5
Agentes
de
Inspeccion y Vigilancia","600,00 €","600,00 €",Jose Figaredo Pidal,,1 mes,Servicios,
,"Reparacines
urgentes
varias
en
la OCA
de
Cangas de Onis","677,60 €","560,00 €",Jose Maria Peruyera Solares,,"3,5 meses",Servicio,
,Adquisicion de libros de ordenes e incidencias,"2.541,00 €","2.100,00 €","La Imprenta Otero, S.L.",,15 días,Suministro,
,"Adquisicion 38.440 dosis de vacuna frente a la
lengua azul
CONP/2023/13913","16.490,76 €","14.991,60 €","Laboratorios
SYVA S.A.",,1 Mes,Suministro,
,"Reparacion
urgente
de
vehiculo
Fiat
Punto
6663CHP de la Oficina Comarcal de Vegadeo","436,70 €","360,91 €",Luis Ivan Vallina Baniela,,5 dias,Servicio,
,"Reparacion
urgente
del
vehiculo
Fiat
Punto
6531CHP de la OCA Vegadeo","411,05 €","339,71 €",Luis Ivan Vallina Baniela,,5 dias,Servicio,
,"Reparacion
urgente
del
vehiculo
Fiat
Punto
6531CHP de la Oficina Comarcal de Vegadeo","84,70 €","70,00 €",Luis Iván Vallina Baniela,,15 dias,Servicio,
,Suministro de 1000 cartas nauticas,"301,60 €","249,26 €",Mª Cristina Pineda Gonzalez,,1 mes,Suministro,
,Serigrafia 17 Vehiculos,"520,30 €","430,00 €",Manuel Alfonso Berrocal Pavon,,3 días,Servicio,
,Reparacion de vehiculo Suzuki 5095BWY,"302,50 €","250,00 €",Manuel Rodriguez Carreño,,15 dias,Servicio,
,Seguro dron,"386,10 €","319,09 €","Mapfre España, Cia, de Seguros y 
Reaseguros, S.A.",,1 año,Servicios,
,Máquina multiherramienta,"162,14 €","134,00 €","Martin Vega Maquinaria, S.A.",,,Suministro,
,Suministro de material de ferreteria y fontaneria,"1.145,64 €","946,81 €","Martin Vega Maquinaria, S.A.",,1 semana,Suministro,
,"Reparacion y mantenimiento del vehiculo 7481
FHT","352,23 €","291,10 €","Meca Taller Diaz, S.L.",,1 semana,Servicios,
,"Reparacion vehiculo oficial matricula 9323BFP 
CONP/2023/14052","85,54 €","70,70 €","Meca Taller Diaz, S.L.",,1 Mes,Servicios,
,"Construccion
de
infraestructuras
contra
incendios
forestales
en
el M.V.M.C.
Fonteta
(Allande)","22.959,94 €","18.975,16 €","Medioambiental Valledor, S.L.",,2 meses,Obra,
,Seguro de la embarcacion RIA DEL EO,"4.223,94 €","3.490,86 €",Murimar,,3 meses,Servicios,
,Camaras fototrampeo,"10.592,00 €","8.753,72 €","Namen Color, S.L",,Hasta 31 de diciembre de 2023,Suministros,
,"Cambio neumaticos traseros Nissan Terrano II
7620CDY","239,58 €","198,00 €","Neumaticos Oviedo, S.L.",,2 meses,Servicio,
,"Cambio
de
neumaticos
en
los
vehiculos
8812LCZ y 8817LCZ","980,10 €","810,00 €","Neumaticos Sirgo, S.A.",,1 semana,Servicios,
,"Replanteo de fincas de reemplazo en la zona de
C.P. de Folgosa","5.989,50 €","4.950,00 €","Norte Asistencias e Informes, S.L.",,1 mes,Servicio,
,"Replanteo de fincas de reemplazo en la zona de
C.P. Privada de El Matel-Torce","1.210,00 €","1.000,00 €","Norte Asistencias e Informes, S.L.",,1 mes,Servicio,
,"Replanteo de fincas de reemplazo en la zona de
C.P. Privada de Las Rozas-Meiro","786,00 €","650,00 €","Norte Asistencias e Informes, S.L.",,1mes,Servicio,
,"Replanteo de fincas de reemplazo en la zona de
C.P. Privada de Monte de Loza","2.420,00 €","2.000,00 €","Norte Asistencias e Informes, S.L.",,1 mes,Servicio,
,"Replanteo de fincas de reemplazo en la zona de
C.P. de Grandamarina","6.037,90 €","4.990,00 €","Norte Asistencias e Informes, S.L.",,1 mes,Servicio,
,"Suministro
de material
de
toma
de muestras
CONP/2023/13522","360,41 €","287,86 €","Nutrastur, S.L.",,1 Mes,Suministros,
,Suministro de 5 mandos para portones,"165,16 €","136,50 €",Pablo Blanco Gomez,,1 mes,Suministro,
,"Reposicion urgente de ocho tubos fluorescentes
en dependenicas de Guarderia Forestal, OCA
Vegadeo","164,56 €","136,00 €",Pedro Jose Fernandez Castro,,5 dias,Servicio,
,"Mejora de infraestructuras viarias en el Concejo
de Allande","33.275,00 €","27.500,00 €","Pesica de Servicios y Contratas, S.L.",,"1,5 meses",Obra,
,"Siembra de cereal para mejora del habitat de la
perdiz roja. Ibias","4.873,00 €","4.430,00 €","Pesica de Servicios y Contratas, S.L.",,31/12/2023,Obra,
,"Reparacion y el mantenimiento del vehiculo Fiat
Punto 4987-BWY de la CIA de Luanco","587,06 €","485,17 €",Pilar Cienfuegos Alves,,30 dias,Servicio,
,"Reparacion vehiculo oficial matricula 5180KSM 
CONP/2023/11630","139,50 €","115,29 €",Pilar Cienfuegos Alves,,1 Mes,Servicios,
,"Mejora de infraestructuras contra incendios en
el concejo de Grandas","38.471,95 €","31.795,00 €","Pinabe, S.C.L.",,2 meses,Obra,
,"Cajas
para la estabulacion de agua de mar y
mantenimiento de distintas especies marinas","308,99 €","255,36 €","Plastipon, S.L.",,1 mes,Suministro,
,Acondicionamiento de camino en Agüera,"46.585,00 €","38.500,00 €","Posada Organizacion, S.A",,1 mes,Obras,
,"Adquisicion
de
material
desechable
de
protección","2.010,54 €","1.661,60 €","Prendas Laborales San Antonio, S.L",,38 dias,Suministros,
,Suministro de micropipetas,"2.127,91 €","1.758,60 €","Proquinorte, S.A.",,1 mes,Suministros,
,"Suministro
de
materiales
de
referencia
y
fungible de cromatografia","2.132,02 €","1.762,00 €","Proquinorte, S.A.",,2 meses,Suministros,
,Prendas vestuario personal (Lote 2),"1.367,23 €","1.129,94 €","Proyma, S.L.",,Hasta el 21/12/23,Suministro,
,"Adquisicion de vestuario, calzado de trabajo y
Equipos de protección individual","187,56 €","155,01 €","Proyma, S.L.",,35 dias,Suministros,
,Impresion de 200 libros de buceo,"2.879,80 €","2.380,00 €","Publiasturias Procesos de 
Impresión, S.L.",,1 mes,Servicios,
,Copias de llaves de seguridad,"54,33 €","44,90 €","Ra/Ba Cierres Electricos, S.A.",,1 mes,Suministro,
,"Suministro
de
reactivos
para
serotipado
de
salmonela","246,84 €","204,00 €","Rafael Moreo, S.L.",,1 mes,Suministros,
,"Reparacion de persianas en la Oficina Comarcal
de Villaviciosa","78,65 €","65,00 €",Ramon Berros Poladura,,15 dias,Servicio,
,Suministro de patron de fumonisinas,"1.184,59 €","979,00 €","R-Biopharm España, S.A.",,1 mes,Suministros,
,Material Reparación Vehiculos,"3.220,49 €","2.661,56 €",Recalvi Norte S.A.,,10 días,Suministro,
,"Suministro
de
tubos
para
disolventes
en
equipos de HPLC/UPLC","214,53 €","177,30 €","REM Representaciones Eduardo 
Muñiz, S.L.",,1 mes,Suministros,
,"Suministro
de microcentrifuga
de
sobremesa
para PCR","3.872,00 €","3.200,00 €","REM Representaciones Eduardo 
Muñiz, S.L.",,1 mes,Suministros,
,"Suministro
de
compresor
para
autoclave
de
muestras de encefalopatias","1.996,50 €","1.650,00 €","Reparaciones Luis e Hijos, S.L.L.",,1 mes,Suministros,
,Prendas vestuario personal (Lote 3),"1.746,47 €","1.443,36 €","Representaciones Navales e 
Industriales, S.L.",,Hasta el 21/12/23,Suministro,
,Comida Protocolaria AGROPEC 2023,"594,00 €","540,00 €","Restaurante Casa Arturo, S.L.",,2 días,Servlcio,
,"Adquisicion de material para la Oficina para el
Medio Rural de Pola de Lena","174,76 €","144,43 €",Rosa Maria Fernandez Garcia,,1MES,Suministro,
,Suministro de pipetas monocanal de 10 ml,"532,40 €","440,00 €","Sarstedt, S.A.",,1 mes,Suministros,
,"Suministro
de
diverso
material
fungible
de
laboratorio","601,61 €","497,20 €","Sarstedt, S.A.",,1 mes,Suministros,
,"Mantenimiento
del
sistema
de
vigilancia
del
Laboratorio de Sanidad Vegetal","477,56 €","394,68 €","Securitas Direct España, S.A.U.",,3 meses,Servicios,
,"Mantenimiento
del
sistema
de
vigilancia
del
Laboratorio de Sanidad Vegetal","525,14 €","434,00 €","Securitas Direct España, S.A.U.",,12 meses,Servicios,
,"Suministro de reactivos para la realizacion de la
tecnica de fijacion de complemento (Brucelosis)","8.058,60 €","6.660,00 €","Serovet 2007, S.L.",,12 meses,Suministros,
,"Sustitucion de una antena de la embarcacion EL
RINCONIN","84,70 €","70,00 €","Servicios Maritimos de Seguridad, 
S.L.",,1 semana,Servicios,
,"Sustitucion de la antena VHF y la helice de la
embarcacion NAVAYO","298,87 €","247,00 €","Servicios Maritimos de Seguridad, 
S.L.",,1 semana,Servicios,
,"Suministro
de
dispositivos
de
seguimiento
GPS/GPRS
para
el
registro
de
la
actividad
pesquera de la flota asturiana","11.271,15 €","9.315,00 €","Servicios Maritimos de Seguridad, 
S.L.",,Hasta el 15.11.23,Suministro,
,"Apertura
de
camino
entre
Andolleu
y
Llivis,
MUP166","38.102,90 €","31.490,00 €","Servicios y naturaleza Astures, S.L.",,1 mes,Obras,
,"Estudio
documentacion
tecnica
pagos
subvenciones de desarrollo y defensa de zonas
forestales convocadas 2022","2.359,50 €","1.950,00 €","Silvana Medioambiental y Forestal, 
S.L.",,29/12/2023,Servicio,
,"Adquisición
de
tres
auriculares
inalambricos
PLANTRONICS
C5540
con
descolgador
telefonico
con
descolgador
telefonico
PLANTRONICS HL10
CONP/2023/12930","427,47 €","353,28 €","SIVSA, Soluciones informáticas SAU",,1 Mes,Suministros,
,"Programa de radio especial Hoy por Hoy desde
Agropec con Alimentos del Paraiso Natural","2.178,00 €","1.800,00 €","Sociedad Española de 
Radiodifusion, S.L.U.",,4 dias,Servicios,
,"Mantenimiento
de
vehiculo
-
Cambio
de
neumaticos y escobillas. 0555-KFN","310,57 €","256,67 €","Taller Electromecanico Dani, S.L.",,1 mes,Servicio,
,"Mantenimiento
de
coche
-
Cambio
de
neumaticos y escobillas 0211KFN","310,57 €","256,67 €","Taller Electromecanico Dani, S.L.",,1 mes,Servicio,
,"Mantenimiento de coche – Revision, cambio de
aceite, filtros y bujias. 3980CLS.","303,84 €","251,11 €","Talleres Casi, S.L.",,1 mes,Servicio,
,"Reparacion vehiculo oficial matricula 9331BFP 
CONP/2023/13730","135,98 €","112,38 €","Talleres Casi, S.L.",,1 Mes,Servicios,
,"Reparacion vehiculo 4648CJH Suzuki Santana
OCA Pravia","890,60 €","736,03 €","Talleres Castañeda, S.L.",,15 dias,Servicio,
,"Reparacion de vehiculo Oca Tieno (Fiat Punto,
6689 CHP)","242,00 €","200,00 €","Talleres CJ Tineo Astur, S.L.",,3 dias,Servicio,
,"Reparacion de vehiculo (Fiat Punto 5008 BWY )
oficina de Villaviciosa","409,77 €","338,65 €","Talleres Luis Alonso Garcia, S.L.",,15 dias,Servicio,
,"Reparacion urgente de vehiculo 4864BWY por
no pasar ITV","97,53 €","80,60 €","Talleres y automoviles Cesar, S.L.",,20 dias,Servicio,
,"Repuesto de pieza para el
robot TECAN
del
departamento de inmunologia","369,27 €","305,18 €","Tecan Iberica Instrumentacion, S.L.",,1 mes,Suministros,
,Suministro de equipo lector de placas,"17.212,89 €","14.225,53 €","Tecan Iberica Instrumentacion, S.L.",,2 meses,Suministros,
,60 Filtros para la depuradora,"653,40 €","540,00 €","Tecnicas de Mantenimiento 
Bombeo, S.L.",,1 mes,Suministro,
,"Reparacion
urgente
de
la
caldera
de
la
calefaccion de la Oficina Comarcal de Luarca
por
averia
(termopar,
desalineado
y
cambio
consumible)","235,19 €","194,37 €","Tecno Occidente, S.L.",,48 horas,Servicio,
,"Mantenimiento de la caldera del Laboratorio de
Sanidad Vegetal","95,83 €","79,20 €","Tecno Oviedo,S.L.",,3 meses,Servicios,
