NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Suministro de frigorifico-congelador combinado
para el Laboratorio de Sanidad Animal","1.403,60 €","1.160,00 €","Acefe, S.A.",,1 mes,Suministros,
,"Reparacion del cromatografo del Laboratorio de
Sanidad Vegetal","3.813,41 €","3.151,58 €","Agilent Technologies Spain, S.L.",,1 mes,Servicios,
,"Suministro de gases para uso en equipos de
laboratorio","5.824,14 €","4.813,34 €","Air Liquide España, S.A.",,12 meses,Suministros,
,"Suministro y mantenimiento de gases para uso
en equipos del Laboratorio de Sanidad Vegetal","2.129,38 €","1.759,82 €","Air Liquide España, S.A.",,1 mes,Suministros,
,"Suministro
de
pienso
para
ensayo
interlaboratorial de micotoxinas","735,68 €","608,00 €","Ambifood Esp,S.L.",,2 meses,Suministros,
,"Reparacion de radiador electrico y enchufe en el
consultorio de San Antolin de Ibias","356,95 €","295,00 €",Angel Santiago Carro,,15 dias,Servicio,
,Adquisicion material de limpieza,"911,25 €","753,10 €","Apolo Asturias, S.L.",,1 mes,Suministro,
,Suministro de una goma de caucho,"43,60 €","36,03 €",Armando Jose Glez. Suarez,,1 semana,Suministro,
,Adquisicion de 7 Prismaticos,"3.395,03 €","2.805,81 €","Armeroa Valea, S.L.",,1 mes,Suministro,
,"Servicio de intermediacon ajeno para insercion
en
prensa
escrita
y
digital
de
material
promocional de la marca APN Navidad","12.705,00 €","9.881,00 €","Arrontes y Barrera, S.L.",,10 dias,Servicios,
,"Sustitucion
de
un
cable
de
dirección
de
la
embarcacion EL RINCONIN","342,61 €","283,15 €","Astur Secomar, S.L.",,1 semana,Servicios,
,"Sustitucion de la helice de la embarcacion EL
RINCONIN","252,89 €","209,00 €","Astur Sercomar, S.L.",,1 semana,Servicios,
,"Produccion
y
suministro
de
calendarios
de
Alimentos del Paraiso Natural para el año 2024","5.261,08 €","4.348,00 €","Asturgraf, S.L.",,13 dias,Suministros,
