NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
2024 35,Cristal ventanilla puerta izquierda,"133,10 €",,GRADO ASISTENCIA S L,,1 día,Suministro,
2024 1459,acto clínico y medicamentos para Programa de Investigación de Carne,"273,90 €",,"GRADOVET CONSULTORIO 
VETERINARIO CB",,1 día,Servicio,
2024 172724,Servicios veterinarios para Programa de Investigación de Carne,"140,80 €",,"GRADOVET CONSULTORIO 
VETERINARIO CB",,1 día,Servicio,
CONP/2024/9432,"Contratación de los trabajos de adecuación del depósito de purines y se su 
entorno para facilitar su vaciado, en la Granja DEMO del SERIDA en Samielles, 
Villaviciosa","4.051,08 €",,"HERMANOS PALACIO BUZNEGO 
SL",,15 días,Servicio,
2024 761,Coffee Break Jornada Transferencia ADVAGROMED,"150,02 €",,HORNOGRADO SL,,1 día,Suministro,
2024 002325,Contenedor Big Box 100x12,"298,49 €",,ICOMMERS EVERY SLU,,1 día,Suministro,
2024 2024055,Servicio análisis sensorial para Proyecto Servicios Laboratorio Sidras,"242,00 €",,"IGNACIO CAVANILLES MARTINEZ 
HOMBRE",,1 día,Servicio,
2024 80,reparación de cámara de congelación del Programa de Sidras y Derivados,"197,84 €",,"INDUSTRIAL FRIGORIFICA DE 
AVILES SL",,1 día,Servicio,
2024 83,"reparación cámara frigorífica de temperatura para el Programa de Sidras y 
Derivados","1.082,66 €",,"INDUSTRIAL FRIGORIFICA DE 
AVILES SL",,1 día,Servicio,
2024 84,"Revisión de equipos de aire acondicionado para el Programa de Sidras y 
Derivados","539,06 €",,"INDUSTRIAL FRIGORIFICA DE 
AVILES SL",,1 día,Servicio,
2024 88,reparación máquina de hielo para el Programa de Sidras y Derivados,"434,09 €",,"INDUSTRIAL FRIGORIFICA DE 
AVILES SL",,1 día,Servicio,
2024 87,reparación efectuada en equipo de aire acondicionado,"569,41 €",,"INDUSTRIAL FRIGORIFICA DE 
AVILES SL",,1 día,Servicio,
2024 85,reparación cuarto de ultra congeladores en Deva,"331,90 €",,"INDUSTRIAL FRIGORIFICA DE 
AVILES SL",,1 día,Servicio,
2024 131,Sustitución cables cámaras Deva y sustituir cámara en Grado,"1.143,45 €",,"INSTALACIONES GLOBALES DE 
SEGURIDAD S.L.",,1 día,Servicio,
2024 76,instalación y puesta en marcha de transmisor gprs/gms en Grado,"665,50 €",,"INSTALACIONES GLOBALES DE 
SEGURIDAD S.L.",,1 día,Suministro,
CONP/2024/10655,"Ensayo de alimentación de peces con borras de fermentación de sidras con 
cargo al Proyecto de Investigación PID2020 118737RR C21","31.810,55 €",,"INSTITUTO TECNOLÓGICO 
AGRARIO",,7 meses,Servicio,
2024 25066,Suministro termómetro TESTO 110 para Proyecto Servicios Laboratorio Sidras,"353,50 €",,"INSTRUMENTACION Y SERVICIOS 
DE CALIBRACIÓN S.L.",,1 día,Suministro,
2024 F240620,Impresión 2 pósters Proyecto Rata topera,"38,72 €",,IVAN GONZALEZ ALVAREZ,,1 día,Suministro,
2024 F240650,Dípticos T/A5 Proyecto LIFESILFORE,"114,95 €",,IVAN GONZALEZ ALVAREZ,,1 día,Suministro,
2024 1724,Instalar tubería agua SERIDA,"496,10 €",,JAVIER CASIELLES BERROS,,1 día,Servicio,
2024 1624,Reforma instalación descalcificador,"229,90 €",,JAVIER CASIELLES BERROS,,1 día,Servicio,
2024 535,Transporte punto limpio SARIEGO,"108,90 €",,"JAVIER CONSTANTINO 
FERNANDEZ ORDIERES",,1 día,Servicio,
CONP/2024/10455,"Servicio de recogida de manzana en parcelas del programa de fruticultura 
(Proyecto de investigación Fruticultura)","5.717,25 €",,JOSE LUIS ALVAREZ FERNANDEZ,,2 meses,Servicio,
2024 24145,Sustitucion vidrio doble acristalamiento,"84,70 €",,JUAN CARLOS LIÑERO PEDRAYES,,1 día,Servicio,
2024 124,Sesión análisis sensorial de muestras para Proyecto Servicios Laboratorio Sidras,"200,00 €",,JUAN LUIS GARCIA GARCIA,,1 día,Servicio,
2024 8808,Análisis de suelo para Proyecto LIFE SILFORE,"987,36 €",,LABORATORIO KUDAM SL,,1 día,Servicio,
CONP/2024/4594,Servicio de control de la población de palomas en SERIDA en Villaviciosa y Deva,"7.114,80 €",,LARUS CONTROL SLNE,,12 meses,Servicio,
CONP/2024/11970,"Servicio de mantenimiento anual de equipo LECO FP528 del Laboratorio de 
Nutrición Animal del SERIDA","2.595,45 €",,"LECO Instrumentos, S.L.",,12 meses,Servicio,
2024 ICE50143984,"4 ampollas 10 ml patrón baja cocentración etanol para el Programa de Sidras y 
Derivados","487,63 €",,LGC STANDARDS SLU,,1 día,Suministro,
2024 0010896653,Suministro nitrógeno líquido,"2.854,22 €",,LINDE GAS ESPAÑA SA,,1 día,Suministro,
2024 0010903658,Servicios criogénicos nitrogen,"861,40 €",,LINDE GAS ESPAÑA SA,,1 día,Servicio,
2024 0010926031,Suministro nitrógeno líquido,"4.070,55 €",,LINDE GAS ESPAÑA SA,,1 día,Suministro,
2024 0010923169,Servicios criogénicos nitrogen,"861,40 €",,LINDE GAS ESPAÑA SA,,1 día,Servicio,
2024 0010929542,Suministro nitrógeno líquido,"2.128,00 €",,LINDE GAS ESPAÑA SA,,1 día,Suministro,
2024 0010938483,Suministro nitrógeno líquido,"1.870,65 €",,LINDE GAS ESPAÑA SA,,1 día,Suministro,
2024 0010942691,Servicios criogénicos nitrogen,"861,40 €",,LINDE GAS ESPAÑA SA,,1 día,Servicio,
2024 0010945605,Suministro nitrógeno líquido,"3.315,81 €",,LINDE GAS ESPAÑA SA,,1 día,Suministro,
2024 0010951824,Servicios criogénicos nitrogen,"861,40 €",,LINDE GAS ESPAÑA SA,,1 día,Servicio,
2024 0005905033,Prima de seguro,"123,76 €",,LINDE GAS ESPAÑA SA,,1 día,Servicio,
CONP/2024/12119,"Servicio de elaboración de proyecto de instalación eléctrica de los invernaderos 
de la Granja Demo ""Les Baragañes""","3.932,50 €",,LOFER INGENIEROS SL,,1 mes,Servicio,
CONP/2024/12974,"Redacción de proyecto de sustitución de cubierta en antiguo establo (tenada) 
en las instalaciones del SERIDA de Villaviciosa","11.495,00 €",,LUIS GARCIA MENENDEZ,,10 días,Servicio,
2024 1017,"Suministro de Aceite Sthil, bobina hilo","115,00 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 1140,"motosierra sthil, limpiacarburadores, filtro gasolina, aguja con nivel y muelle, 
bujía","57,39 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 1141,"limpiacarburadores, filtro gasolina, aguja con nivel y utillaje, juta escape, mano 
de obra: reparación roscas de escape. colocar escape, limpiar carburador, filtro 
de aire y probar 1 1/2 horas.","74,90 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 1084,desbrozador stihl fs 461c,"1.036,00 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 1020,Recambios manquinaria del SERIDA,"214,19 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 1019,Suministro de recambios para desbrozadora,"92,40 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 1018,soplador Sthil BGT 56 y juego de conversión,"347,50 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 1142,Dos protectores Sthill,"42,00 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 1143,Tres sprays para el Programa de investigación Forestal,"33,90 €",,LUIS JAVIER AMANDI MONTES,,1 día,Suministro,
2024 7140355583,"Suministro pk100 cub term fellowes 250mic, pk100 cub enc fellowes squick 
160mic, mem usb verbatim pinstripe 128 gb, disco duro ext 3,5´´verbatim 4tb, 
tablero corcho Proyecto Banco Recursos Zoogenéticos","478,52 €",,LYRECO ESPAÑA SA,,1 día,Suministro,
2024 0410,Revisión anual caldera WOLF,"127,45 €",,MANTENIMIENTOS SIERO SL,,1 día,Servicio,
2024 24061,Servicio de cátering Auditoria ENAC,"884,62 €",,"MANUEL ANGEL SANCHEZ 
FERNANDEZ",,1 día,Servicio,
2024 24029,Suministro pienso perros Programa de Investigación de Carne,"200,00 €",,"MANUEL FERNANDEZ 
FERNANDEZ",,1 día,Suministro,
2024 24033,Suministro pienso perros Programa de Investigación de Carne,"120,00 €",,"MANUEL FERNANDEZ 
FERNANDEZ",,1 día,Suministro,
2024 B23314,Material cierres ganado Proyecto LIFE SILFORE,"218,02 €",,"MANUEL FERNANDEZ 
FERNANDEZ",,1 día,Suministro,
2024 8412,Copias llaves y llaveros,"63,50 €",,MANUEL VALLE LLERA,,1 día,Suministro,
2024 8512,Cesta mimbre Proyecto Transferencia y publicaciones,"26,00 €",,MANUEL VALLE LLERA,,1 día,Suministro,
2024 3924,Colocación de postes de madera en parcela del SERIDA,"302,50 €",,MARCOS VILLARRICA MONTES,,1 día,Servicio,
2024 1172024,Servicio de transporte maquinaria,"477,95 €",,MARIA DEL PORTAL PALACIO,,1 día,Servicio,
2024 1442024,Servicio de transporte de estiércol a DEVA,"163,35 €",,"MARIA DEL PORTAL PALACIO 
FERNANDEZ",,1 día,Servicio,
2024 166,Servicio de transporte con remolque,"314,60 €",,"MARIA DEL PORTAL PALACIO 
FERNANDEZ",,1 día,Servicio,
