NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
2024 0127872,plástico para ensilado de maíz (2 rollos) (SYGENTA),"423,26 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 0127871,pienso de arranque para terneras Programa de Investigación de Leche,"494,34 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 012786,"alfakil raton, brida nylon, brida verde, trampa supercat ratones y lejía industrial 
(Increase)","95,65 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 0127841,pienso en tacos 1050Kg Programa de Investigación de Carne,"380,59 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014229,"aislador varilla 14mm y interruptor linea speedrite Programa de Investigación 
de Carne","45,38 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014228,"mezcla nova plus, roundup ultraplus (garrafas de 5 L) Programa de 
Investigación de Carne","285,26 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014239,"cutter bimaterial, destornillador boca philips, sensor destorn y bachofit destorn 
Programa Investigación Forestal","21,86 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014238,BRIDA VERDE 200X3 (100 UD Patología Vegetal),"3,19 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014240,"bidón gasoil, acumuladores de frio, espátula pintor 70MM y piqueta fibra de 
vidrio (Proyecto Life Silfore)","53,57 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014241,puntas cabeza plana 22X120 y grampillones 19X35 (Proyecto Banco Semillas),"48,21 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 014242,GANCHO PESADOR DIGITAL 30,"61,11 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 012787 3,"bloque mineral multiblock, replyn bloque 10Kg y sulfato de cobre 25Kg. 
Programa de Investigación de Leche.","529,03 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 015642,"aislador Koltec, aislador regulable, muelle puertas, aislador empuñadura,cable 
subterráneo, manguera top master, rueda carretilla, pala extra punta, 
interruptor línea spedrite,mango barrendero, garra especial patentada, cepillo 
barrendero, mango recto. Programa de Investigación de Carne","266,72 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 015641,15 sacos de pienso para terneros Programa de Investigación de Carne,"154,61 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 015647,semilla apta pastoreo (Syngenta),"990,00 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 015644,eslingas para amarre de cargas (Life Silfore),"60,50 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 015649,"guantes térmicos, mandiles, cepillo de barrer, rueda, pala forestal, rastrillos, 
navajas e insecticida","295,43 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 015645,"spray marcador azul, rojo y verde Programa de Investigación de Carne","76,85 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 015646,"Pintura, escobas, hilo desbrozar Proyecto de Investigación 862862 INCREASE","179,32 €",,"SOCIEDAD ASTURIANA DE 
SERVICIOS AGROPECUARIOS, S.L. 
(ASA)",,1 día,Suministro,
2024 0471555002,RG_RENTAL SINGLE CYLS_200 (Para el Área de Nutrición),"457,74 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471667318,RG_RENTAL SINGLE CYLS_200 (Para el Área de Nutrición),"473,00 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471667322,RG_RENTAL FOOD GAS SINGLE (Para el área de Sidras y Derivados),"297,08 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471758333,PR ARGON Premier X50S (Para el Área de Nutrición),"1.926,60 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471758335,PR HELIO Premier X50S (Para el área de Sidras y Derivados),"2.364,00 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471555009,RG_RENTAL FOOD GAS SINGLE (Para el área de Sidras y Derivados),"368,84 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471848542,RG_RENTAL CILINDRO ALIMEN (Para el área de Sidras y Derivados),"332,69 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471664302,RG_RENTAL SINGLE CYLS_200 (Genética y reproducción animal),"471,42 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471848537,RG_RENTAL CILINDRO_200B (Para el Área de Nutrición),"457,74 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 470766484,"pR Synthetic air ZERO X50S 200.0B, refrigerated liquid Nitrogen commercial 
grade 200 litre Stainless steel Dewar relief valve 3 bar (Proyecto sidra Fran)","1.485,65 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 0471535450,pr carbon dioxide prmier x40s. (PID2022 138633OR I00),"587,76 €",,"SOCIEDAD ESPAÑOLA DE 
CARBUROS METÁLICOS, S.A.",,1 día,Suministro,
2024 2019,Reparación ordenador Genétical Vegetal,"30,01 €",,SOLUCIONES FERSISA SLU,,1 día,Servicio,
2024 2207,Disco duro SSD kingston A400 9,"120,01 €",,SOLUCIONES FERSISA SLU,,1 día,Suministro,
CONP/2024/12275,Suministro de equipos informáticos para el SERIDA,"14.924,20 €",,SOLUCIONES FERSISA SLU,,15 días,Suministro,
2024 140,"puesta en marcha del sistema de calefacción, comprobación de funcionamiento 
de bomba de calor, bombas de secundario y sistema de control en Deva","500,17 €",,"SUMINISTROS E INSTALACIONES 
MEDIOAMBIENTALES Y 
TECNICAS DE LA EDIFICACION, 
S.L.",,1 día,Servicio,
2024 143,trabajos mantenimiento ejecutados en instalación del SERIDA,"250,08 €",,"SUMINISTROS E INSTALACIONES 
MEDIOAMBIENTALES Y 
TECNICAS DE LA EDIFICACION, 
S.L.",,1 día,Servicio,
2024 826,"piñón esparcidor, palier esparcidor, cadena esparcidor, 1/2 empate cadena, 
pinchazo rueda esparcidor, aceite de motor","1.222,02 €",,"TALLERES ANGEL FERNANDEZ 
BARRIGON",,1 día,Suministro,
2024 1692,revisión anual obligatoria de 4 calderas marca Baxi,"550,26 €",,TECNO VILLAVICIOSA SL,,1 día,Servicio,
2024 02400000519,materiales para colocación bebederos en la nave de estabulación de vacuno,"48,96 €",,"TRANSPORTES FRESNO 
ASTURIAS SL",,1 día,Suministro,
2024 02400000621,sacos de rafia para pienso de animales de TERCRAS,"15,00 €",,"TRANSPORTES FRESNO 
ASTURIAS SL",,1 día,Suministro,
2024 3464,"papel fotográfico 250 gra, plastificado 125 mc m2 mate. Banco Recursos 
Zoogenéticos","101,66 €",,TUKAN SOMOS IMPRESORES SLL,,1 día,Suministro,
2024 3746,copia color M2 160 gr. BIOLOGÍA MOLECULAR,"30,49 €",,TUKAN SOMOS IMPRESORES SLL,,1 día,Suministro,
2024 4284,solvotex. PID2022 138633OR I00,"36,30 €",,TUKAN SOMOS IMPRESORES SLL,,1 día,Suministro,
2024 4286,"papel fotográfico 250gra tamaño A0, plastificado 125 A0 mate. Colaboración 
Asociaciones ganaderas. Estudio calidad seminal razas domésticas autóctonas","57,90 €",,TUKAN SOMOS IMPRESORES SLL,,1 día,Suministro,
2024 4354,solvotex 100x120. Rata Topera,"43,56 €",,TUKAN SOMOS IMPRESORES SLL,,1 día,Suministro,
2024 4295,"Papel fotográfico 250 gr, plastificado 125 mc. M2 mate. Banco de Recursos 
Zoogenéticos","114,95 €",,TUKAN SOMOS IMPRESORES SLL,,1 día,Suministro,
2024 4880,solvotex tamaño 90X120 Cm.PID2020 118737RR C21,"78,41 €",,TUKAN SOMOS IMPRESORES SLL,,1 día,Suministro,
2024 4879,encuadernación de la Tesis Doctoral de Laura González Blanco,"528,37 €",,TUKAN SOMOS IMPRESORES SLL,,1 día,Suministro,
2024 AE257,Suministro abono eco 5 kg pellet para el Programa LIFESILFORE,"47,82 €",,"UNA CIUDAD PARA TODOS 
UCPT",,1 día,Suministro,
2024 AE273,"Suministro malla de sombre de 4 metros para el Programa de Investigación 
Forestal","450,00 €",,"UNA CIUDAD PARA TODOS 
UCPT",,1 día,Suministro,
2024 00000000277,Servicio de préstamo interbibliotecario,"8,00 €",,UNIVERSIDAD DE LEON,,1 día,Servicio,
CONP/2024/9608,"Servicio científico técnico para el uso del microscopio confocal con cargo al 
Proyecto de Investigación PID2021 22197ORC22","1.790,80 €",,UNIVERSIDAD DE OVIEDO,,"2,5 meses",Servicio,
CONP/2024/10184,"Servicio de análisis de microbiología de gallinaza con cargo al Proyecto de 
Investigación PCI2022 132944 (ADVAGROMED)","8.052,00 €",,UNIVERSITA DI TORINO,,2 meses,Servicio,
2024 0512024,Reparación cerradura puerta,"48,40 €",,"VICTOR MANUEL RODRIGUEZ 
POLADURA",,1 día,Servicio,
2024 0502024,Revisión bombas riego y calibrado de boyas de niveles de agua,"72,60 €",,"VICTOR MANUEL RODRIGUEZ 
POLADURA",,1 día,Servicio,
2024 73,Suministro de batería para Toyota Auris 1683KJF,"256,16 €",,"VILLAR LLORENTE MOTOR,S.L.",,1 día,Suministro,
2024 12,"desarrollo de la identidad virtual para la exposición itinerarte en el marco del 
proyecto Life Silfore","3.296,04 €",,"VOLUMETRIA DEL PRINCIPADO 
SL",,1 día,Servicio,
2024 7059061864,"calipers traceable, assorted colors, cuchillas afeitar plástica para Estudio 
Sanitario de Fauna Silvestre","341,70 €",,"VWR INTERNATIONAL EUROLAB 
SL",,1 día,Suministro,
2024 7062522702,guante nitrilo sin polvo M y S Recuperación de Razas Autóctonas,"191,79 €",,"VWR INTERNATIONAL EUROLAB 
SL",,1 día,Suministro,
2024 24394,Servicio de asistencia técnica,"424,00 €",,ZP INFORMATICA SL,,1 día,Servicio,
