NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,,,,,,,,"[{""column"": """", ""value"": ""Contratación de material de alquiler \nRhapsody in Blue piano and small \norchestra/ Gershwin, George; Grofé, Ferde \n(Concierto del Centenario de S. Agustín de \nla Florida, temporada 2024-25).""}, {""column"": """", ""value"": ""Contratación de material de alquiler \nRhapsody in Blue piano and small \norchestra/ Gershwin, George; Grofé, Ferde \n(Concierto del Centenario de S. Agustín de \nla Florida, temporada 2024-25).""}, {""column"": """", ""value"": ""Contratación de material de alquiler \nRhapsody in Blue piano and small \norchestra/ Gershwin, George; Grofé, Ferde \n(Concierto del Centenario de S. Agustín de \nla Florida, temporada 2024-25).""}, {""column"": """", ""value"": ""Contratación de material de alquiler \nRhapsody in Blue piano and small \norchestra/ Gershwin, George; Grofé, Ferde \n(Concierto del Centenario de S. Agustín de \nla Florida, temporada 2024-25).""}]"
,"Contratación de material de alquiler Vierte 
Symphonie 
Es-dur. 
Zweite 
fassung 
(1887/78) dem 
finale von 1880 Leopold 
Nowak/ 
Bruckner, 
Anton 
(Festival 
Internacional de Santander, temporada 2024-
25)","1,413,00€",,"TRISKELION MUSIC, S.L.",,,,
,,,,,,,,
,,,,,,,,"[{""column"": """", ""value"": ""Contratación de material de alquiler Vierte \nSymphonie \nEs-dur. \nZweite \nfassung \n(1887/78) dem \nfinale von 1880 Leopold \nNowak/ \nBruckner, \nAnton \n(Festival \nInternacional de Santander, temporada 2024-\n25)""}, {""column"": """", ""value"": ""Contratación de material de alquiler Vierte \nSymphonie \nEs-dur. \nZweite \nfassung \n(1887/78) dem \nfinale von 1880 Leopold \nNowak/ \nBruckner, \nAnton \n(Festival \nInternacional de Santander, temporada 2024-\n25)""}, {""column"": """", ""value"": ""Contratación de material de alquiler Vierte \nSymphonie \nEs-dur. \nZweite \nfassung \n(1887/78) dem \nfinale von 1880 Leopold \nNowak/ \nBruckner, \nAnton \n(Festival \nInternacional de Santander, temporada 2024-\n25)""}, {""column"": """", ""value"": ""Contratación de material de alquiler Vierte \nSymphonie \nEs-dur. \nZweite \nfassung \n(1887/78) dem \nfinale von 1880 Leopold \nNowak/ \nBruckner, \nAnton \n(Festival \nInternacional de Santander, temporada 2024-\n25)""}]"
,,,,,,,,"[{""column"": """", ""value"": ""Contratación de material de alquiler Sinfonía \nSociedad General de Autores y Editores \nnº2/ Garay, Ramón \n(Día \nde Asturias, \n1.197,90€ \n(SGAE) \ntemporada 2024-25) \nContratación de material de alquiler Sinfonía \nnº4/ Marqués, Pedro Miguel (Festival de \nSociedad General de Autores y Editores \n550,55€ \nMúsica Española de León, temporada 2024-\n(SGAE) \n25) \nContratación \nde \nmaterial \nde \nalquiler \nConcierto para piano y orquesta en \nsol \n423,50€ \nAsociación Ars Hispana \nmayor/ Serrano, Emilio (Festival de Música \nEspañola de León, temporada 2024-25)""}, {""column"": """", ""value"": ""Contratación de material de alquiler Sinfonía \nSociedad General de Autores y Editores \nnº2/ Garay, Ramón \n(Día \nde Asturias, \n1.197,90€ \n(SGAE) \ntemporada 2024-25) \nContratación de material de alquiler Sinfonía \nnº4/ Marqués, Pedro Miguel (Festival de \nSociedad General de Autores y Editores \n550,55€ \nMúsica Española de León, temporada 2024-\n(SGAE) \n25) \nContratación \nde \nmaterial \nde \nalquiler \nConcierto para piano y orquesta en \nsol \n423,50€ \nAsociación Ars Hispana \nmayor/ Serrano, Emilio (Festival de Música \nEspañola de León, temporada 2024-25)""}, {""column"": """", ""value"": ""Contratación de material de alquiler Sinfonía \nSociedad General de Autores y Editores \nnº2/ Garay, Ramón \n(Día \nde Asturias, \n1.197,90€ \n(SGAE) \ntemporada 2024-25) \nContratación de material de alquiler Sinfonía \nnº4/ Marqués, Pedro Miguel (Festival de \nSociedad General de Autores y Editores \n550,55€ \nMúsica Española de León, temporada 2024-\n(SGAE) \n25) \nContratación \nde \nmaterial \nde \nalquiler \nConcierto para piano y orquesta en \nsol \n423,50€ \nAsociación Ars Hispana \nmayor/ Serrano, Emilio (Festival de Música \nEspañola de León, temporada 2024-25)""}, {""column"": """", ""value"": ""Contratación de material de alquiler Sinfonía \nSociedad General de Autores y Editores \nnº2/ Garay, Ramón \n(Día \nde Asturias, \n1.197,90€ \n(SGAE) \ntemporada 2024-25) \nContratación de material de alquiler Sinfonía \nnº4/ Marqués, Pedro Miguel (Festival de \nSociedad General de Autores y Editores \n550,55€ \nMúsica Española de León, temporada 2024-\n(SGAE) \n25) \nContratación \nde \nmaterial \nde \nalquiler \nConcierto para piano y orquesta en \nsol \n423,50€ \nAsociación Ars Hispana \nmayor/ Serrano, Emilio (Festival de Música \nEspañola de León, temporada 2024-25)""}]"
,"Contratación de El Castromocho SA para el 
traslado de los profesores instrumentistas a 
los 
ensayos 
y 
conciertos 
en 
Avilés 
(Centenario de San Agustín de la Florida) en 
agosto dentro de la temporada 2024-25.","1.470,01€",,EL CASTROMOCHO SA,,,,
,,,,,,,,
,,,,,,,,"[{""column"": """", ""value"": ""Contratación de El Castromocho SA para el \ntraslado de los profesores instrumentistas a \nlos \nensayos \ny \nconciertos \nen \nAvilés \n(Centenario de San Agustín de la Florida) en \nagosto dentro de la temporada 2024-25.""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \ntraslado de los profesores instrumentistas a \nlos \nensayos \ny \nconciertos \nen \nAvilés \n(Centenario de San Agustín de la Florida) en \nagosto dentro de la temporada 2024-25.""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \ntraslado de los profesores instrumentistas a \nlos \nensayos \ny \nconciertos \nen \nAvilés \n(Centenario de San Agustín de la Florida) en \nagosto dentro de la temporada 2024-25.""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \ntraslado de los profesores instrumentistas a \nlos \nensayos \ny \nconciertos \nen \nAvilés \n(Centenario de San Agustín de la Florida) en \nagosto dentro de la temporada 2024-25.""}]"
,,,,,,,,"[{""column"": """", ""value"": ""Contratación de El Castromocho SA para el \n1.475,00€ \nEL CASTROMOCHO SA \ntraslado de los profesores instrumentistas a""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \n1.475,00€ \nEL CASTROMOCHO SA \ntraslado de los profesores instrumentistas a""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \n1.475,00€ \nEL CASTROMOCHO SA \ntraslado de los profesores instrumentistas a""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \n1.475,00€ \nEL CASTROMOCHO SA \ntraslado de los profesores instrumentistas a""}]"
,"Contratación de El Castromocho SA para el 
traslado de los profesores instrumentistas a 
los pueblos (Pola de Siero y Gijón) dentro del 
ciclo OSPA de cerca en septiembre dentro de 
la temporada 2024-25.","2.335,00€",,EL CASTROMOCHO SA,,,,
,,,,,,,,
,,,,,,,,"[{""column"": """", ""value"": ""Contratación de El Castromocho SA para el \ntraslado de los profesores instrumentistas a \nlos pueblos (Pola de Siero y Gijón) dentro del \nciclo OSPA de cerca en septiembre dentro de \nla temporada 2024-25.""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \ntraslado de los profesores instrumentistas a \nlos pueblos (Pola de Siero y Gijón) dentro del \nciclo OSPA de cerca en septiembre dentro de \nla temporada 2024-25.""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \ntraslado de los profesores instrumentistas a \nlos pueblos (Pola de Siero y Gijón) dentro del \nciclo OSPA de cerca en septiembre dentro de \nla temporada 2024-25.""}, {""column"": """", ""value"": ""Contratación de El Castromocho SA para el \ntraslado de los profesores instrumentistas a \nlos pueblos (Pola de Siero y Gijón) dentro del \nciclo OSPA de cerca en septiembre dentro de \nla temporada 2024-25.""}]"
,,,,,,,,
