NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Kits videoconferencia,"371,47 €","307,00 €",A3J SISTEMAS S. COOP.ASTUR,,1 mes,Suministros,
,"Kits de videoconferencia de uso individual, consistentes en cámaras web y auriculares con 
micrófono, para trabajo compartido remoto","371,47 €","307,00 €","A3J SISTEMAS, S. COOP. ASTUR",,1 mes,Suministros,
,"Limpieza de la finca de La Malatería sita en la
calle Gil de Blas nº11 de Oviedo, expediente edificación A-24/RG-01","4.840,00 €","4.000,00 €",Agroreznera S.L.,,15 días,Obra,
,Servicio de reimpresión de catálogos de la 33 MAPPA,"983,84 €","946,00 €","Asturcopia, S.L.",,3 semanas,Servicios,
,"Servicio de catering para los asistentes a la reunión del Consejo Interterritorial del INJUVE en 
la localidad de Oviedo","250,00 €","227,27 €","Camilo de Blas, S.A.",,1 día,Servicios,
,Suministro de papel de diplomas,"65,34 €","54,00 €","Comercial Manuel Urones, S.L.",,1 semana,Suministros,
,Suministro de mobiliario para la Sala Borrón,"3.388,61 €","2.800,50 €","Comercial Manuel Urones, S.L.",,2 meses,Suministros,
,Toner,"22,26 €","18,40 €","Comercial Manuel Urones, S.L.",,10 días,Suministros,
,Día del Exilio 8 de mayo 2024,"2.395,80 €","1.980,00 €",Cronistar SL,,1 día,Servicios,
,Jornadas MD Exilio y Deportación 23-24-25 mayo,"8.546,23 €","7.063,00 €",Cronistar SL,,1 día,Servicios,
,"Reparación de grietas en fachadas y mantenimiento de varios edificios en el grupo de 45 VPP 
en Mathaussen, Almuña, concejo de Valdés","26.775,46 €","22.128,48 €",Desarrollo y Mantenimiento del Norte S.L.,,30 días,Obra,
,"Ejecución editorial y presentación de los libros ganadores del Premio ""Asturias Joven de 
Poesía, Narrativa y Textos Teatrales"" en 2023","4.853,00 €","4.650,00 €","Ediciones Trabe, S.L.",,2 meses y 7 días,Servicios,
,Corona de flores por fallecimiento de empleado público,"330,00 €","300,00 €",Floristerias Ananas S. L.,,1 día,Suministros,
,"Servicio de videointerpretación en lengua de signos y subtitulado para personas sordas en el 
Servicio de Atención Ciudadana del Principado de Asturias","18.016,90 €","14.890,00 €","Fundación CNSE, para la supresión de barreras de 
comunicación",,12 meses,Servicios,
,Reparación equipo receptor GNSS,"4.685,73 €","3.872,50 €",Global Geosystems S.L,,1 mes,Servicios,
,"Reparación de receptor GNSS perteneciente a la Red Geodésica Activa del Principado de 
Asturias","4.685,73 €","3.872,50 €",Global Geosystems S.L.,,1 mes,Servicios,
,Tarjetas,"38,72 €","32,00 €",Higinio Fernández Fernández,,5 días,Suministros,
,Suministro de Material de Imprenta CONP/2024/2696,"3.195,95 €","2.595,00 €",Imprenta Goymar,,30 días,Suministros,
,Servicio de transporte y montaje de la itinerancia de la 33 MAPPA a la localidad de Madrid,"10.890,00 €","9.000,00 €",Jose Ramón Alonso Flórez,,1 mes y 5 días,Servicios,
,Servicio de transporte y montaje de la exposición de Iratxe Esteve Cuesta en la Sala Borrón,"3.025,00 €","2.500,00 €",José Ramón Alonso Flórez,,1 mes y 5 días,Servicios,
,Servicio de traducción de los textos del catálogo de la 34 MAPPA,"1.376,50 €","1.137,60 €",Juan González-Castelao Martínez-Peñuela,,3 semanas,Servicios,
,Servicio de comisariado para la exposición de Ruth Álvarez Fernández en la Sala Borrón,"1.250,00 €","1.250,00 €",Juan Manuel Llano Borbolla,,3 meses y 1 día,Servicios,
,Comisariado de la 33 MAPPA en la localidad de Madrid,"1.500,00 €","1.500,00 €",Luis Feás Costilla,,1 mes y 3 días,Servicios,
,Servicio de comisariado y elaboración de contenidos para la 34 MAPPA,"3.000,00 €","3.000,00 €",Luis Feás Costilla,,4 meses y 23 días,Servicios,
,Servicio de elaboración de reportaje fotográfico para la 34 MAPPA,"471,90 €","390,00 €",Manuel Ángel Gutiérrez Carranza,,3 semanas,Servicios,
,"Servicio de cena para los asistentes a la reunión del Consejo Interterritorial del INJUVE en la 
localidad de Oviedo","630,00 €","572,73 €","Murasambla, S.L.",,1 día,Servicios,
,"Asistencia técnica para la elaboración de estudio de zonas tensionadas del Principado de 
Asturias, según Ley 12/2023, de 24 de mayo, por el derecho a la vivienda","15.730,00 €","13.000,00 €","Runitek Ingenieros, S.L",,2 meses,Servicios,
,Suministro de material promocional LGTBI,"7.625,42 €","6.302,00 €",San Luc Regalos Publicitarios,,15 días hábiles,Suministros,
,Reprografía,"1.436,84 €","1.187,00 €",Tukan Somos Impresores SLL,,8 días,Servicios,
,Servicio de catering encuentro de Asociaciones de Ámbito Rural del Principado de Asturias,"2.711,50 €","2.465,00 €",Una Ciudad para todos,,1 día,Servicios,
,"Servicio de póliza de seguro de transporte y ""clavo a clavo"" para la exposición de Iratxe 
Esteve Cuesta en la sala Borrón","324,45 €","324,45 €","XL Insurance Company S.E., Sucursal en España",,1 mes y 4 días,Servicios,
