NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Mantenimiento caldera de la oficina comarcal de Luarca,"813,12 €","672,00 €",Tecno occidente S.L.,,Hasta 31/12/2024Servicios,,
,Mantenimiento de caldera de gasoil instalada en consultorio de Grandas de Salime (Oca Vegadeo),"290,40 €","240,00 €","Tecno Occidente, S.L.",,Hasta 31/12/2024Servicios,,
,Mantenimiento de la caldera de gasoil marca roja de la oficina comarcal de Vegadeo,"181,50 €","150,00 €","Tecno occidente, S.L.",,Hasta 31/12/2024Servicios,,
,"Mantenimiento de caldera de gasoil marca roja en el centro de informacion agrario de Tapia de Casariergo 
dependiente de la Oca Vegadeo","181,50 €","150,00 €","Tecno occidente, S.L.",,Hasta 31/12/2024Servicios,,
,Mantenimiento caldera gasoil oca Llanes,"130,00 €","107,44 €",Tecno Oriente Astur SL,,Hasta 31/12/2024Servicios,,
,Mantenimiento caldera Laviana,"211,75 €","175,00 €",Tecno Oviedo S.L.,,Hasta 31/12/2024Servicios,,
,Reparación de caldera oficina comarcal Pola de Laviana,"775,61 €","641,00 €",Tecno Oviedo S.L.,,3 meses,Servicios,
,"Mantenimiento de caldera del Centro de Información Agraria de Allande, dependiente de la Oficina Comarcal 
de Tineo","143,99 €","119,00 €","Tecno servicio Avilés, S.L.",,Hasta 31/12/2024Servicios,,
,Suministro de material de laboratorio para departamento Fisico Quimico,"1.246,66 €","1.030,30 €","Tecnologia Agraria, S.A.",,1 mes,Suministros,
,"Cualificacion (revision del correcto funcionamiento) de las cabinas de flujo 
laminar, las vitrinas de extraccion y las zonas de presion negativa controlada
 (zonas P3) en los Laboratorios de Sanidad Animal y Vegetal de Asturias","5.415,69 €","4.475,78 €","Tecnologia para diagnostico e investigacion, S.A.",,8 meses,Servicios,
,Medios de cultivo para microalgas,"900,17 €","743,94 €",Thermo Fisher Diagnostics SL,,Un (1) mes,Suministros,
,Almuerzo Jornadas Ayud Directas PAC,"165,00 €","150,00 €","Tierra Astur Avilés, S.L.",,1 día,Servicios,
,Reparacion de balsa en El Requexu. Puerto del Sueve. (Piloña),"29.766,00 €","24.600,00 €","Trabajos Salense, SL",,2 meses,Obra,
,Mejora de Infraestructuras en el MUP 226 Peñamayor (Laviana),"42.167,41 €","34.849,10 €",Transportes y maquinaria Gonzalo SL,,5 meses,Obra,
,Mejora de accesos en Sierra del Aramo MUP 260 (Quiros)-MUP 264 (Riosa),"47.421,26 €","39.191,12 €",Transportes y maquinaria Gonzalo SL,,4 meses,Obra,
