NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Análisis de Biotoxinas en zonas de producción de moluscos bivalvos 14.950,00 €","18.089,50 €",,Anfaco - Cecopesca,,Hasta 31.12.24,Servicios,
,Contrato de mantenimiento climatización de Tineo,"1.113,68 €","920,40 €",Aober electricidad SL,,1 año,Servicios,
,Analisis muestras GTH programa control SANDACH,"164,22 €","135,72 €","Aquimisa, S.L.U.",,1 Mes,Servicios,
,Mantenimiento del ascensor,"1.089,00 €","900,00 €",Ascensores del cantábrico SL,,Hasta 31.12.24,Servicios,
,Curso formación embarcación,"18.029,00 €","14.900,00 €",Astilleros y varaderos de Garrucha SL,,Un (1) mes,Servicios,
,Botiquín para las embarcaciones,"290,10 €","239,75 €",Beatriz Mediavilla Cachón,,Un (1) mes,Suministros,
,Suministro de medio de cultivo para micobacterias,"17.787,00 €","14.700,00 €","Becton Dickinson, S.A.",,10 meses,Suministro,
,Suministro de reactivos para el cultivo de micobacterias,"8.518,40 €","7.040,00 €","Becton Dickinson, S.A.",,10 meses,Suministro,
,Limpieza oficina comarcal agraria de Grado,"1.391,74 €","1.150,20 €","Bedunde,SL",,40 días,Servicios,
,Alquiler de un stand promocional en la feria “Gustoku 2024”.,"15.838,90 €","14.399,00 €","Bilbao Exhibition Centre, S.A.",,3 dias,Servicios,
,"Impartición de curso de actualización de operador general del 
SMSSM para dos Agentes de Inspección y Vigilancia Pesquera.","798,00 €","659,50 €",Cantábrica Consultores MarítimosS SL,,Dos (2) días,Servicios,
,Revision de los extintores del Laboratorio de Sanidad Animal,"188,76 €","156,00 €",Carlos Borrego Salazar,,1 mes,Servicios,
,Adquisición de llave para vehículo Nissan Xtrail 8275LPP,"269,00 €","222,31 €","Comercio y asistencia, SA",,7 días,Servicios,
,Suministro de ensayo interlaboratorial de micotoxinas,"402,93 €","333,00 €","Cromakit, S.L.",,10 meses,Suministro,
,Chaleco hidrostático,"620,00 €","512,40 €",Deportes Pardo SL,,Un (1) mes,Suministros,
,Envío de muestras mediante transporte urgente,"3.806,66 €","3.146,00 €",Dismed SA,,Hasta 31.12.24,Servicios,
,Suministro de harina de insectos,"199,65 €","165,00 €","Dismed, S.A.",,6 meses,Suministro,
,"Cuota anual de mantenimiento de la acreditacion (Expediente ENAC 
LE/847)","1.024,87 €","847,00 €",Entidad Nacional de Acreditación (ENAC),,10 meses,Servicios,
,Inspeccion reglamentaria del aparato elevador (montacargas),"113,74 €","94,00 €","Eurocontrol, S.A.",,1 mes,Servicios,
,"Suministro de kit ELISA para la deteccion antigenica de Rotavirus, 
Coronavirus, E. Coli F5 y Cryptosporidium","508,20 €","420,00 €","Eurovet Veterinaria, S.L.",,1 mes,Suministro,
,"Patrocinio “Alimentos del Paraiso Natural” en ""Madrid Fusion 2024"".","18.143,95 €","14.995,00 €","Foro de Debate, S.L",,3 dias,Servicios,
,Instalación Registro Auxiliar eléctrico en OCA de Siero,"1.512,50 €","1.250,00 €",Francisco Manuel Pola Bayón,,5 días,Servicios,
,Revisión de la gestión de la pesca marítima recreativa,"17.847,50 €","14.750,00 €",Fundación Universidad de Oviedo,,Hasta 30.06.24,Servicios,
,Suministro de reactivos Elisa para el diagnostico de Brucella spp,"2.207,04 €","1.824,00 €","Gold Standard Diagnostics Madrid, S.A.",,10 meses,Suministro,
,"Suministro de kits Elisa para la deteccion de anticuerpos especificos 
frente al Mycobacterium bovis en porcino y jabali","1.137,40 €","940,00 €","Gold Standard Diagnostics Madrid, S.A.",,1 mes,Suministro,
,Adquisicion bateria para el vehiculo oficial matricula 4791GCD,"93,13 €","76,97 €","Grupo Recalvi Norte, S.A.",,1 Mes,Suministro,
,Adquisición bateria para el vehiculo oficial matricula 0164KFL,"182,47 €","150,80 €","Grupo Recalvi Norte, S.A.",,1 Mes,Suministro,
,"Suministro material laboratorio parada sementales Pola de Laviana 
2024","7.493,82 €","6.193,24 €",HUMECO Productos Veterinarios,,10 días,Suministros,
,Suministro de kits para análisis de BVD y Paratuberculosis,"18.060,41 €","14.925,96 €","IDEXX Laboratorios, S.L.",,1 mes,Suministro,
